timestamp,symbol,timeframe,pivot_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,confirmation_lag_bars,visibility_score,atr,lookahead_safe,is_candidate,is_confirmed,is_ambiguous,reason,fixture_id,market_group,group,example_id,example_type
2026-02-01 08:00:00,OHLC_W1,H4,confirmed_low,low,2026-02-01 04:00:00,2026-02-01 08:00:00,99.9,1,1.9838709677419364,4.133333333333326,True,False,True,False,"visible move: atr_score=1.984, relative_score=0.07593",ohlc_possible_wave1,Forex Majors,Forex Majors,ohlc_possible_wave1,impulse
2026-02-02 08:00:00,OHLC_W2,H4,confirmed_low,low,2026-02-02 04:00:00,2026-02-02 08:00:00,99.9,1,2.231707317073172,5.466666666666659,True,False,True,False,"visible move: atr_score=2.232, relative_score=0.10893",ohlc_possible_wave2,Forex Majors,Forex Majors,ohlc_possible_wave2,impulse
2026-02-02 12:00:00,OHLC_W2,H4,confirmed_high,high,2026-02-02 08:00:00,2026-02-02 12:00:00,112.1,1,1.5708154506437764,7.766666666666661,True,False,True,False,"visible move: atr_score=1.571, relative_score=0.11619",ohlc_possible_wave2,Forex Majors,Forex Majors,ohlc_possible_wave2,impulse
2026-02-03 08:00:00,OHLC_W3C,H4,confirmed_low,low,2026-02-03 04:00:00,2026-02-03 08:00:00,99.9,1,2.231707317073172,5.466666666666659,True,False,True,False,"visible move: atr_score=2.232, relative_score=0.10893",ohlc_wave3_candidate,Forex Majors,Forex Majors,ohlc_wave3_candidate,impulse
2026-02-03 12:00:00,OHLC_W3C,H4,confirmed_high,high,2026-02-03 08:00:00,2026-02-03 12:00:00,112.1,1,1.5708154506437764,7.766666666666661,True,False,True,False,"visible move: atr_score=1.571, relative_score=0.11619",ohlc_wave3_candidate,Forex Majors,Forex Majors,ohlc_wave3_candidate,impulse
2026-02-03 16:00:00,OHLC_W3C,H4,confirmed_low,low,2026-02-03 12:00:00,2026-02-03 16:00:00,104.9,1,0.8537549407114616,8.433333333333328,True,False,True,False,"visible move: atr_score=0.854, relative_score=0.06486",ohlc_wave3_candidate,Forex Majors,Forex Majors,ohlc_wave3_candidate,impulse
2026-02-04 08:00:00,OHLC_W3A,H4,confirmed_low,low,2026-02-04 04:00:00,2026-02-04 08:00:00,99.9,1,2.231707317073172,5.466666666666659,True,False,True,False,"visible move: atr_score=2.232, relative_score=0.10893",ohlc_wave3_active,Forex Majors,Forex Majors,ohlc_wave3_active,impulse
2026-02-04 12:00:00,OHLC_W3A,H4,confirmed_high,high,2026-02-04 08:00:00,2026-02-04 12:00:00,112.1,1,1.5708154506437764,7.766666666666661,True,False,True,False,"visible move: atr_score=1.571, relative_score=0.11619",ohlc_wave3_active,Forex Majors,Forex Majors,ohlc_wave3_active,impulse
2026-02-04 16:00:00,OHLC_W3A,H4,confirmed_low,low,2026-02-04 12:00:00,2026-02-04 16:00:00,104.9,1,1.2260061919504641,10.76666666666666,True,False,True,False,"visible move: atr_score=1.226, relative_score=0.11186",ohlc_wave3_active,Forex Majors,Forex Majors,ohlc_wave3_active,impulse
2026-02-05 08:00:00,OHLC_W4,H4,confirmed_low,low,2026-02-05 04:00:00,2026-02-05 08:00:00,99.9,1,2.231707317073172,5.466666666666659,True,False,True,False,"visible move: atr_score=2.232, relative_score=0.10893",ohlc_possible_wave4,Forex Majors,Forex Majors,ohlc_possible_wave4,impulse
2026-02-05 12:00:00,OHLC_W4,H4,confirmed_high,high,2026-02-05 08:00:00,2026-02-05 12:00:00,112.1,1,1.5708154506437764,7.766666666666661,True,False,True,False,"visible move: atr_score=1.571, relative_score=0.11619",ohlc_possible_wave4,Forex Majors,Forex Majors,ohlc_possible_wave4,impulse
2026-02-05 16:00:00,OHLC_W4,H4,confirmed_low,low,2026-02-05 12:00:00,2026-02-05 16:00:00,104.9,1,1.5781637717121586,13.433333333333328,True,False,True,False,"visible move: atr_score=1.578, relative_score=0.16825",ohlc_possible_wave4,Forex Majors,Forex Majors,ohlc_possible_wave4,impulse
2026-02-05 20:00:00,OHLC_W4,H4,confirmed_high,high,2026-02-05 16:00:00,2026-02-05 20:00:00,126.1,1,1.801699716713881,11.76666666666666,True,False,True,False,"visible move: atr_score=1.802, relative_score=0.17815",ohlc_possible_wave4,Forex Majors,Forex Majors,ohlc_possible_wave4,impulse
